idx,image_id,prediction,gold,EM,F1,BLEU4,ROUGE_L_F1
0,,No.,No.,1,1.0,0.0,1.0
1,,Sharp right turn.,Moderate right turn.,0,0.666667,0.0,0.666667
2,,Yes.,Yes.,1,1.0,0.0,1.0
3,,The action is to keep going at the,The action is to keep going at the same speed. The reason is that there is no safety issue. The probability of taking this action is high.,0,0.413793,0.058816,0.413793
4,,No.,No.,1,1.0,0.0,1.0
5,,No.,No.,1,1.0,0.0,1.0
6,,None.,None.,1,1.0,0.0,1.0
7,,White truck.,White sedan.,0,0.5,0.0,0.5
8,,There are many traffic elements in the front,"There are many traffic elements in the front view. The information of these traffic elements is [(traffic light, red, 923.74, 284.98, 935.94, 319.86), (traffic light, red, 757.82, 288.94, 769.85, 323.63), (traffic light, unknown, 479.0, 269.06, 492.25, 308.88), (traffic light, unknown, 586.22, 266.39, 618.07, 308.19), (traffic light, unknown, -0.47",0,0.264151,0.003805,0.264151
9,,Yes.,Yes.,1,1.0,0.0,1.0
10,,Neither is a traffic sign.,Neither is a traffic sign.,1,1.0,1.0,1.0
11,,Many pedestrians are moving.,Many pedestrians are moving.,1,1.0,1.0,1.0
12,,Keep going straight.,Keep going straight.,1,1.0,0.0,1.0
13,,None.,Red light.,0,0.0,0.0,0.0
14,,Black sedan.,Black car.,0,0.5,0.0,0.5
15,,Keep going at the same speed.,Keep going at the same speed.,1,1.0,1.0,1.0
16,,One car is parked.,One car is moving.,0,0.75,0.0,0.75
17,,Yes.,Yes.,1,1.0,0.0,1.0
18,,No.,Yes.,0,0.0,0.0,0.0
19,,The ego vehicle.,The ego vehicle.,1,1.0,0.0,1.0
